"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DBLOAMIM_00136",379.701093452932,-0.11408676362098,0.187888080539616,-0.607205966942244,0.543714232839683,0.729393946878168
"DBLOAMIM_00137",570.780970295192,0.0988095799354926,0.19372905020317,0.510040078304558,0.610023383872814,0.77592477485072
"DBLOAMIM_00138",552.845182842902,-0.0177226294545594,0.179939799389927,-0.0984919929590156,0.921541629740124,0.965643705237467
"DBLOAMIM_00139",267.9113126048,-0.0855215898065588,0.234401457545311,-0.364850930118584,0.715222685022007,0.847098175392951
"DBLOAMIM_00140",395.341468845778,-0.0764685467240049,0.227347910585626,-0.336350338681492,0.736606694020329,0.859871860442524
"DBLOAMIM_00141",256.836684169545,-0.480100435750224,0.206068084481629,-2.32981461907569,0.0198159511672399,0.072948194501623
"DBLOAMIM_00142",919.979747730704,1.46013281012253,0.176278927009599,8.28308201605416,1.20027697694754e-16,6.16795393459981e-15
"DBLOAMIM_00143",568.07307751444,-0.359101253200126,0.202246168862746,-1.77556517000739,0.0758046150776925,0.200996892738997
"DBLOAMIM_00144",708.385510568364,0.344955729276913,0.170062952727467,2.02840021147769,0.0425194185422596,0.129931912487148
"DBLOAMIM_00145",1560.75298414261,0.231100798912805,0.157743013452179,1.46504617767344,0.142908319493977,0.311822485689631
"DBLOAMIM_00146",826.88297137648,0.663281269311411,0.187475806722313,3.53795660841644,0.000403236318210426,0.00290099728358244
"DBLOAMIM_00147",856.148744245637,0.925974267788299,0.172132872632165,5.37941564344329,7.47279997235408e-08,1.40421718883489e-06
"DBLOAMIM_00148",171.124942936338,0.00137526798424482,0.22432754299822,0.00613062473677491,0.995108499815284,0.996295507966157
"DBLOAMIM_00149",244.8787828712,0.650210199402464,0.214698746769379,3.02847692027236,0.00245789851029036,0.0136021724151893
"DBLOAMIM_00150",179.548998627921,-0.115362118503784,0.235254558175944,-0.490371448690513,0.623871076476263,0.785453685283616
"DBLOAMIM_00151",999.860328394467,0.44824867381174,0.192515357980777,2.32837877722202,0.0198919995632001,0.0730146572888306
"DBLOAMIM_00152",621.932818205766,0.481428387965672,0.167982572439607,2.86594246637553,0.00415769800095521,0.0214530400950926
"DBLOAMIM_00153",33.1768504068708,0.36564940505853,0.491718545447429,0.743615241775792,0.457109279572042,0.656589370201028
"DBLOAMIM_00154",150.35075629477,-0.281704445124523,0.22737253902413,-1.23895544437153,0.215361998955073,0.414588954507921
"DBLOAMIM_00155",70.7616046958254,0.171250287367474,0.339891079140366,0.503838723277441,0.614374713673423,0.77782720490095
"DBLOAMIM_00156",72.4832378165438,-0.226536816469929,0.304419400564621,-0.744160247506437,0.456779534296841,0.656490221095575
"DBLOAMIM_00157",80.1433458749515,-0.124399409648163,0.307654999805638,-0.404347108698877,0.685957488309305,0.828900026732284
"DBLOAMIM_00158",1083.96717354149,-0.716937577015991,0.160924784069374,-4.45510976548473,8.38502833278758e-06,0.000106097996693262
"DBLOAMIM_00159",2227.06632909398,-0.341448071563742,0.178959965089669,-1.90795785746078,0.0563966633287706,0.159558200294207
"DBLOAMIM_00160",1090.79057521015,0.157491469828911,0.161795846800021,0.973396245600607,0.330356404148331,0.536669306868063
"DBLOAMIM_00161",147.496137950002,-0.310502875124108,0.261734554916558,-1.18632740420193,0.235493028393645,0.439236684023469
"DBLOAMIM_00162",94.5727622586185,-0.548514389575857,0.326085066610838,-1.68212054381035,0.0925454674513232,0.230494052465313
"DBLOAMIM_00163",206.376525336745,0.642877896073143,0.204723288273404,3.14022845908273,0.00168816128016752,0.0100254483572213
"DBLOAMIM_00164",489.634413572812,0.509638229220413,0.174325458916969,2.92348709354698,0.00346134574565267,0.0183874864716317
"DBLOAMIM_00165",1144.61003007578,0.310723843181913,0.160048771000298,1.94143223493628,0.052205871536672,0.150750440974014
"DBLOAMIM_00166",295.394384505693,0.182032077475517,0.217759688497376,0.835931015201242,0.403193712967299,0.609754816367363
"DBLOAMIM_00167",107.589708646847,0.17605347036409,0.299188721078656,0.588436187465121,0.556239554097124,0.737460641004571
"DBLOAMIM_00168",776.14248760917,0.823815878550044,0.221753407331991,3.71500888514734,0.00020319655442314,0.00161914216467553
"DBLOAMIM_00169",4586.34167142971,-0.26477524271369,0.141220973329401,-1.87490028195809,0.0608064432785313,0.169183010138499
